Title,Avg rating,Price,Year,Complexity,Min players,Max players,Min time,Max time,Age,Type
Brass: Birmingham,8.61,84.99,2018,3.89,2,4,60,120,14,Strategy
Pandemic Legacy: Season 1,8.53,49.97,2015,2.83,2,4,60,60,13,Strategy
Gloomhaven,8.61,143.69,2017,3.9,1,4,60,120,14,Strategy
Ark Nova,8.53,58.99,2021,3.74,1,4,90,150,14,Strategy
Twilight Imperium: Fourth Edition,8.61,126.49,2017,4.31,3,6,240,480,14,Strategy
Terraforming Mars,8.37,79.99,2016,3.26,1,5,120,120,12,Strategy
Dune: Imperium,8.42,51.43,2020,3.03,1,4,60,120,14,Strategy
Gloomhaven: Jaws of the Lion,8.47,36.97,2020,3.64,1,4,30,120,14,Strategy
War of the Ring: Second Edition,8.53,74.89,2011,4.21,2,4,150,180,13,Thematic
Star Wars: Rebellion,8.42,90.74,2016,3.74,2,4,180,240,14,Thematic
Spirit Island,8.35,67.31,2017,4.06,1,4,90,120,13,Strategy
Gaia Project,8.39,78.99,2017,4.4,1,4,60,150,12,Strategy
Twilight Struggle,8.25,56.18,2005,3.61,2,2,120,180,13,Strategy
Through the Ages: A New Story of Civilization,8.3,69.73,2015,4.44,2,4,120,120,14,Strategy
Great Western Trail,8.21,39.99,2016,3.7,2,4,75,150,12,Strategy
The Castles of Burgundy,8.13,49.99,2011,2.99,2,4,30,90,12,Strategy
Scythe,8.16,65.92,2016,3.44,1,5,90,115,14,Strategy
7 Wonders Duel,8.1,21.99,2015,2.23,2,2,30,30,10,Strategy
Eclipse: Second Dawn for the Galaxy,8.48,168.88,2020,3.67,2,6,60,200,14,Strategy
Brass: Lancashire,8.19,78.99,2007,3.86,2,4,60,120,14,Strategy
Nemesis,8.28,199.9,2018,3.46,1,5,90,180,12,Thematic
A Feast for Odin,8.18,96.78,2016,3.86,1,4,30,120,12,Strategy
Clank! Legacy: Acquisitions Incorporated,8.56,118.97,2019,2.71,2,4,90,120,13,Thematic
